"time","cases"
1944,"NA"
1944.03832991102,180
1944.07665982204,271
1944.11498973306,423
1944.15331964408,465
1944.1916495551,523
1944.22997946612,649
1944.26830937714,624
1944.30663928816,556
1944.34496919918,420
1944.3832991102,423
1944.42162902122,488
1944.45995893224,441
1944.49828884326,268
1944.53661875428,260
1944.5749486653,163
1944.61327857632,83
1944.65160848734,60
1944.68993839836,41
1944.72826830938,48
1944.7665982204,65
1944.80492813142,82
1944.84325804244,145
1944.88158795346,122
1944.91991786448,194
1944.9582477755,237
1944.99657768652,318
1945.03490759754,450
1945.07323750856,671
1945.11156741958,1387
1945.1498973306,1617
1945.18822724162,2058
1945.22655715264,3099
1945.26488706366,3340
1945.30321697468,2965
1945.34154688569,1873
1945.37987679671,1641
1945.41820670773,1122
1945.45653661875,884
1945.49486652977,591
1945.53319644079,427
1945.57152635181,282
1945.60985626283,174
1945.64818617385,127
1945.68651608487,84
1945.72484599589,97
1945.76317590691,68
1945.80150581793,88
1945.83983572895,79
